Country,Breed_Count,Top_Breed_Group,Example_Breeds,Latitude,Longitude,Source
United Kingdom,58,Terriers,Airedale Terrier; Basset Hound; Beagle; Bearded Collie,54,-2,https://www.fci.be/en/nomenclature/
France,52,Scent hounds and related breeds,Ariege Pointing Dog; Ariegeois; Artois Hound; Auvergne Pointer,46,2,https://www.fci.be/en/nomenclature/
Germany,32,Pinscher and Schnauzer,Affenpinscher; Bavarian Mountain Scent Hound; Boxer; Dachshund,51,9,https://www.fci.be/en/nomenclature/
Italy,14,Scent hounds and related breeds,Bergamasco Shepherd Dog; Bolognese; Cirneco Dell'Etna; Italian Cane Corso,42.83333333,12.83333333,https://www.fci.be/en/nomenclature/
Spain,14,Pinscher and Schnauzer,"Andalusian Terrier, Sherry Terrier; Burgos Pointing Dog; Canarian Warren Hound; Catalan Sheepdog",40,-4,https://www.fci.be/en/nomenclature/
Japan,11,Spitz and primitive types,Akita; American Akita; Hokkaido; Japanese Chin,36,138,https://www.fci.be/en/nomenclature/
United States of America,11,Retrievers,Alaskan Malamute; American Cocker Spaniel; American Foxhound; American Staffordshire Terrier,38,-97,https://www.fci.be/en/nomenclature/
Belgium,10,Companion and Toy Dogs,Belgian Shepherd Dog; Bichon Frise; Bloodhound; Bouvier Des Ardennes,50.83333333,4,https://www.fci.be/en/nomenclature/
China,10,Companion and Toy Dogs,Chinese Crested Dog; Chow Chow; Lhasa Apso; Pekingese,35,105,https://www.fci.be/en/nomenclature/
Russia,10,Spitz and primitive types,Borzoi - Russian Hunting Sighthound; Caucasian Shepherd Dog; Central Asia Shepherd Dog; East Siberian Laika,60,100,https://www.fci.be/en/nomenclature/
Switzerland,10,Pinscher and Schnauzer,Appenzell Cattle Dog; Bernese Mountain Dog; Continental Bulldog; Entlebuch Cattle Dog,47,8,https://www.fci.be/en/nomenclature/
Hungary,9,Sheepdogs and Cattledogs,Hungarian Greyhound; Hungarian Hound - Transylvanian Scent Hound; Hungarian Short-Haired Pointer (Vizsla); Hungarian Wire-Haired Pointer,47,20,https://www.fci.be/en/nomenclature/
Portugal,9,Pinscher and Schnauzer,Castro Laboreiro Dog; Estrela Mountain Dog; Portuguese Pointing Dog; Portuguese Sheepdog,39.5,-8,https://www.fci.be/en/nomenclature/
Sweden,9,Scent hounds and related breeds / Spitz and primitive types,Danish-Swedish Farmdog; Drever; Hamiltonstövare; Jämthund,62,15,https://www.fci.be/en/nomenclature/
Ireland,8,Terriers,Irish Glen Of Imaal Terrier; Irish Red And White Setter; Irish Red Setter; Irish Soft Coated Wheaten Terrier,53,-8,https://www.fci.be/en/nomenclature/
Netherlands,8,Sheepdogs and Cattledogs,Drentsche Partridge Dog; Dutch Schapendoes; Dutch Shepherd Dog; Dutch Smoushond,52.5,5.75,https://www.fci.be/en/nomenclature/
Norway,7,Spitz and primitive types,Halden Hound; Hygen Hound; Norwegian Buhund; Norwegian Elkhound Black,62,10,https://www.fci.be/en/nomenclature/
Croatia,6,Scent hounds and related breeds,Bosnian And Herzegovinian - Croatian Shepherd Dog; Croatian Shepherd Dog; Dalmatian; Istrian Short-Haired Hound,45.16666666,15.5,https://www.fci.be/en/nomenclature/
Australia,5,Sheepdogs and Cattledogs,Australian Cattle Dog; Australian Kelpie; Australian Silky Terrier; Australian Stumpy Tail Cattle Dog,-27,133,https://www.fci.be/en/nomenclature/
