Breed,Country,Breed_Group,Section,Joint_Origin,Original_FCI_Origin,FCI_URL
English Pointer,United Kingdom,Pointing Dogs,British and Irish Pointers and Setters,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/ENGLISH-POINTER-1.html
English Setter,United Kingdom,Pointing Dogs,British and Irish Pointers and Setters,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/ENGLISH-SETTER-2.html
Kerry Blue Terrier,Ireland,Terriers,Large and medium sized Terriers,No,IRELAND,https://www.fci.be/en/nomenclature/KERRY-BLUE-TERRIER-3.html
Cairn Terrier,United Kingdom,Terriers,Small sized Terriers,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/CAIRN-TERRIER-4.html
English Cocker Spaniel,United Kingdom,Retrievers,Flushing Dogs,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/ENGLISH-COCKER-SPANIEL-5.html
Gordon Setter,United Kingdom,Pointing Dogs,British and Irish Pointers and Setters,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/GORDON-SETTER-6.html
Airedale Terrier,United Kingdom,Terriers,Large and medium sized Terriers,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/AIREDALE-TERRIER-7.html
Australian Terrier,Australia,Terriers,Small sized Terriers,No,AUSTRALIA,https://www.fci.be/en/nomenclature/AUSTRALIAN-TERRIER-8.html
Bedlington Terrier,United Kingdom,Terriers,Large and medium sized Terriers,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/BEDLINGTON-TERRIER-9.html
Border Terrier,United Kingdom,Terriers,Large and medium sized Terriers,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/BORDER-TERRIER-10.html
Bull Terrier,United Kingdom,Terriers,Bull type Terriers,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/BULL-TERRIER-11.html
Fox Terrier (Smooth),United Kingdom,Terriers,Large and medium sized Terriers,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/FOX-TERRIER-SMOOTH-12.html
English Toy Terrier (Black &Tan),United Kingdom,Terriers,Toy Terriers,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/ENGLISH-TOY-TERRIER-BLACK-TAN-13.html
Swedish Vallhund,Sweden,Spitz and primitive types,Nordic Watchdogs and Herders,No,SWEDEN,https://www.fci.be/en/nomenclature/SWEDISH-VALLHUND-14.html
Belgian Shepherd Dog,Belgium,Sheepdogs and Cattledogs,Sheepdogs,No,BELGIUM,https://www.fci.be/en/nomenclature/BELGIAN-SHEPHERD-DOG-15.html
Old English Sheepdog,United Kingdom,Sheepdogs and Cattledogs,Sheepdogs,No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/OLD-ENGLISH-SHEEPDOG-16.html
Griffon Nivernais,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/GRIFFON-NIVERNAIS-17.html
Briquet Griffon Vendeen,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/BRIQUET-GRIFFON-VENDEEN-19.html
Ariegeois,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/ARIEGEOIS-20.html
Gascon Saintongeois,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/GASCON-SAINTONGEOIS-21.html
Great Gascony Blue,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/GREAT-GASCONY-BLUE-22.html
Poitevin,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/POITEVIN-24.html
Billy,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/BILLY-25.html
Artois Hound,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/ARTOIS-HOUND-28.html
Porcelaine,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/PORCELAINE-30.html
Small Blue Gascony,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/SMALL-BLUE-GASCONY-31.html
Blue Gascony Griffon,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/BLUE-GASCONY-GRIFFON-32.html
Grand Basset Griffon Vendeen,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/GRAND-BASSET-GRIFFON-VENDEEN-33.html
Norman Artesien Basset,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/NORMAN-ARTESIEN-BASSET-34.html
Blue Gascony Basset,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/BLUE-GASCONY-BASSET-35.html
Basset Fauve De Bretagne,France,Scent hounds and related breeds,Scent hounds,No,FRANCE,https://www.fci.be/en/nomenclature/BASSET-FAUVE-DE-BRETAGNE-36.html
Portuguese Water Dog,Portugal,Retrievers,Water Dogs,No,PORTUGAL,https://www.fci.be/en/nomenclature/PORTUGUESE-WATER-DOG-37.html
Welsh Corgi (Cardigan),United Kingdom,Sheepdogs and Cattledogs,Cattledogs (except Swiss Cattledogs),No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/WELSH-CORGI-CARDIGAN-38.html
Welsh Corgi (Pembroke),United Kingdom,Sheepdogs and Cattledogs,Cattledogs (except Swiss Cattledogs),No,GREAT BRITAIN,https://www.fci.be/en/nomenclature/WELSH-CORGI-PEMBROKE-39.html
Irish Soft Coated Wheaten Terrier,Ireland,Terriers,Large and medium sized Terriers,No,IRELAND,https://www.fci.be/en/nomenclature/IRISH-SOFT-COATED-WHEATEN-TERRIER-40.html
Yugoslavian Shepherd Dog - Sharplanina,North Macedonia,Pinscher and Schnauzer,Molossian type,Yes,"NORTH MACEDONIA, SERBIA",https://www.fci.be/en/nomenclature/YUGOSLAVIAN-SHEPHERD-DOG-SHARPLANINA-41.html
Yugoslavian Shepherd Dog - Sharplanina,Serbia,Pinscher and Schnauzer,Molossian type,Yes,"NORTH MACEDONIA, SERBIA",https://www.fci.be/en/nomenclature/YUGOSLAVIAN-SHEPHERD-DOG-SHARPLANINA-41.html
Jämthund,Sweden,Spitz and primitive types,Nordic Hunting Dogs,No,SWEDEN,https://www.fci.be/en/nomenclature/JAMTHUND-42.html
Beauce Sheepdog,France,Sheepdogs and Cattledogs,Sheepdogs,No,FRANCE,https://www.fci.be/en/nomenclature/BEAUCE-SHEEPDOG-44.html
Bernese Mountain Dog,Switzerland,Pinscher and Schnauzer,Swiss Mountain- and Cattledogs,No,SWITZERLAND,https://www.fci.be/en/nomenclature/BERNESE-MOUNTAIN-DOG-45.html
Appenzell Cattle Dog,Switzerland,Pinscher and Schnauzer,Swiss Mountain- and Cattledogs,No,SWITZERLAND,https://www.fci.be/en/nomenclature/APPENZELL-CATTLE-DOG-46.html
Entlebuch Cattle Dog,Switzerland,Pinscher and Schnauzer,Swiss Mountain- and Cattledogs,No,SWITZERLAND,https://www.fci.be/en/nomenclature/ENTLEBUCH-CATTLE-DOG-47.html
Karelian Bear Dog,Finland,Spitz and primitive types,Nordic Hunting Dogs,No,FINLAND,https://www.fci.be/en/nomenclature/KARELIAN-BEAR-DOG-48.html
Finnish Spitz,Finland,Spitz and primitive types,Nordic Hunting Dogs,No,FINLAND,https://www.fci.be/en/nomenclature/FINNISH-SPITZ-49.html
Newfoundland,Canada,Pinscher and Schnauzer,Molossian type,No,CANADA,https://www.fci.be/en/nomenclature/NEWFOUNDLAND-50.html
Finnish Hound,Finland,Scent hounds and related breeds,Scent hounds,No,FINLAND,https://www.fci.be/en/nomenclature/FINNISH-HOUND-51.html
Polish Hound,Poland,Scent hounds and related breeds,Scent hounds,No,POLAND,https://www.fci.be/en/nomenclature/POLISH-HOUND-52.html
Komondor,Hungary,Sheepdogs and Cattledogs,Sheepdogs,No,HUNGARY,https://www.fci.be/en/nomenclature/KOMONDOR-53.html
